Product Category,Sub Category,Unit Cost,Unit Price
Man Shoes,Sneakers,690.33,681
Man Shoes,Derby,814.33,891.33
Man Shoes,Derby,783,806
Man Shoes,Sneakers,"1,024.50",887
Man Shoes,Sneakers,"2,071.00","1,699.00"
Man Shoes,Derby,"1,000.00",906
Man Shoes,Derby,"1,091.00","1,343.50"
Man Shoes,Sneakers,683,668.67
Man Shoes,Derby,391.5,311.5
Man Shoes,Derby,261,230.67
Man Shoes,Sneakers,"1,024.50",915
Man Shoes,Sneakers,"1,035.50","1,077.50"
Man Shoes,Derby,391.5,360
Man Shoes,Derby,261,307
Man Shoes,Sneakers,"2,071.00","2,274.00"
Man Shoes,Sneakers,"1,035.50","1,171.50"
Man Shoes,Sneakers,683,809.67
Man Shoes,Derby,333.33,302.33
Man Shoes,Derby,814.33,959.67
Man Shoes,Derby,333.33,329.67
Man Shoes,Derby,"1,221.50","1,046.50"
,Derby,391.5,383.5
Man Shoes,Derby,391.5,442
Man Shoes,Derby,261,216
Man Shoes,Derby,261,243
Man Shoes,Derby,783,713
Man Shoes,Sneakers,"1,035.50",992.5
Man Shoes,Derby,"2,182.00","2,009.00"
Man Shoes,Sneakers,690.33,680
Man Shoes,Derby,"2,443.00","2,312.00"
Man Shoes,Derby,727.33,926.33
Man Shoes,Sneakers,"2,071.00","2,351.00"
Man Shoes,Sneakers,"2,049.00","2,086.00"
Man Shoes,Derby,"2,443.00","2,499.00"
Man Shoes,Derby,"1,000.00",932
Man Shoes,Derby,391.5,379
Man Shoes,Derby,500,461
Man Shoes,Sneakers,"2,071.00","2,417.00"
Man Shoes,Derby,391.5,352
Man Shoes,Derby,"2,182.00","1,377.00"
Man Shoes,Sneakers,"2,049.00","2,187.00"
Man Shoes,Sneakers,"2,071.00","2,330.00"
Man Shoes,Derby,261,271
Man Shoes,Sneakers,690.33,588
Man Shoes,Derby,391.5,432
Man Shoes,Sneakers,683,734.33
Man Shoes,Derby,"1,091.00","1,313.00"
Man Shoes,Sneakers,"1,024.50",997.5
Man Shoes,Sneakers,690.33,603.33
Man Shoes,Derby,814.33,735.33
Man Shoes,Sneakers,"2,049.00","1,583.00"
Man Shoes,Sneakers,683,543.33
Man Shoes,Sneakers,"1,035.50",974
Man Shoes,Derby,727.33,572.67
Man Shoes,Sneakers,"2,049.00","1,903.00"
Man Shoes,Derby,500,441.5
Man Shoes,Sneakers,"2,049.00","2,465.00"
Man Shoes,Derby,"1,091.00","1,410.00"
Man Shoes,Derby,"1,091.00",681.5
Man Shoes,Derby,"2,443.00","1,914.00"
Man Shoes,Derby,333.33,270
Man Shoes,Sneakers,"1,035.50","1,134.50"
Man Shoes,Derby,"2,182.00","2,053.00"
Man Shoes,Derby,"1,091.00",949.5
Man Shoes,Derby,"2,443.00","2,414.00"
Man Shoes,Sneakers,690.33,669
Man Shoes,Sneakers,"1,035.50",945
Man Shoes,Sneakers,"2,049.00","1,307.00"
Man Shoes,Derby,783,694
Man Shoes,Derby,333.33,280
Man Shoes,Sneakers,"2,049.00","1,487.00"
Man Shoes,Sneakers,"2,071.00","2,481.00"
Man Shoes,Derby,333.33,319.33
Man Shoes,Sneakers,"2,049.00","2,271.00"
Man Shoes,Derby,333.33,283.67
Man Shoes,Derby,"1,091.00","1,066.50"
Man Shoes,Derby,814.33,828.33
Man Shoes,Sneakers,"1,024.50","1,070.50"
Man Shoes,Sneakers,"1,024.50","1,265.50"
Man Shoes,Derby,261,242
Man Shoes,Derby,"1,091.00",827.5
Man Shoes,Derby,814.33,585.67
Man Shoes,Sneakers,"1,035.50",710
Man Shoes,Derby,"2,182.00","2,613.00"
Man Shoes,Sneakers,"2,071.00","1,865.00"
Man Shoes,Derby,"2,443.00","2,492.00"
Man Shoes,Derby,"2,182.00","2,932.00"
Man Shoes,Derby,391.5,429
Man Shoes,Derby,"1,091.00",793
Man Shoes,Sneakers,"1,035.50","1,162.50"
Man Shoes,Derby,"2,443.00","2,666.00"
Man Shoes,Sneakers,683,602.67
Man Shoes,Derby,727.33,649.33
Man Shoes,Sneakers,683,560.67
Man Shoes,Derby,"2,182.00","1,863.00"
Man Shoes,Derby,"1,000.00",891
Man Shoes,Derby,391.5,318
Man Shoes,Derby,"1,000.00",864
Man Shoes,Derby,727.33,565
Man Shoes,Derby,"2,443.00","1,674.00"
Man Shoes,Sneakers,"2,049.00","2,203.00"
Man Shoes,Sneakers,683,560.67
Man Shoes,Derby,"1,000.00",922
Man Shoes,Sneakers,"1,035.50",981.5
Man Shoes,Sneakers,"2,049.00","1,868.00"
Man Shoes,Derby,783,760
Man Shoes,Derby,"1,091.00","1,214.00"
Man Shoes,Sneakers,683,707.67
Man Shoes,Sneakers,"2,071.00","2,386.00"
Man Shoes,Derby,"1,091.00",993.5
Man Shoes,Derby,"1,091.00","1,069.00"
Man Shoes,Sneakers,"2,071.00","2,430.00"
Man Shoes,Sneakers,"2,049.00","2,267.00"
Man Shoes,Sneakers,690.33,772.33
Man Shoes,Sneakers,"2,049.00","1,829.00"
Man Shoes,Derby,333.33,265.33
Man Shoes,Derby,391.5,349.5
Man Shoes,Sneakers,683,788.67
Man Shoes,Sneakers,"2,049.00","2,532.00"
Man Shoes,Derby,261,338.33
Man Shoes,Sneakers,"2,071.00","2,292.00"
Man Shoes,Derby,"1,000.00",874
Man Shoes,Sneakers,"1,035.50",894
Man Shoes,Derby,"2,443.00","2,925.00"
Man Shoes,Derby,"1,091.00",823
Man Shoes,Sneakers,"1,035.50",934
Man Shoes,Derby,"2,443.00","2,574.00"
Man Shoes,Sneakers,"2,049.00","2,385.00"
Man Shoes,Sneakers,"1,035.50","1,043.50"
Man Shoes,Derby,391.5,440
Man Shoes,Derby,783,910
Man Shoes,Sneakers,690.33,518.33
Man Shoes,Derby,727.33,898
Man Shoes,Derby,261,255
Man Shoes,Derby,"1,000.00",847
Man Shoes,Derby,333.33,296
Man Shoes,Derby,261,282.67
Man Shoes,Derby,727.33,708
Man Shoes,Sneakers,"1,024.50",708
Man Shoes,Derby,391.5,360
Man Shoes,Derby,"2,182.00","1,842.00"
Man Shoes,Derby,"1,091.00","1,047.50"
Man Shoes,Sneakers,"1,024.50","1,077.00"
Man Shoes,Sneakers,683,750
Man Shoes,Derby,814.33,977
Man Shoes,Sneakers,690.33,623
Man Shoes,Sneakers,690.33,866.33
Man Shoes,Derby,261,257
Man Shoes,Sneakers,690.33,732
Man Shoes,Derby,261,248.33
Man Shoes,Derby,"2,182.00","2,384.00"
Man Shoes,Sneakers,"2,071.00","1,869.00"
Man Shoes,Derby,500,542
Man Shoes,Sneakers,"1,024.50","1,022.50"
Man Shoes,Derby,333.33,408
Man Shoes,Sneakers,"1,035.50",775.5
Man Shoes,Derby,727.33,584.33
Man Shoes,Derby,333.33,249.67
Man Shoes,Derby,500,505
Man Shoes,Derby,391.5,389
Man Shoes,Sneakers,"1,024.50",866
Man Shoes,Sneakers,"2,049.00","1,965.00"
Man Shoes,Derby,391.5,357
Man Shoes,Sneakers,"2,049.00","2,617.00"
Man Shoes,Sneakers,683,522
Man Shoes,Derby,"2,182.00","2,108.00"
Man Shoes,Sneakers,"2,049.00","2,435.00"
Man Shoes,Sneakers,683,712.33
Man Shoes,Sneakers,"2,071.00","2,000.00"
Man Shoes,Derby,500,465.5
Man Shoes,Derby,727.33,908.33
Man Shoes,Derby,500,451.5
Man Shoes,Sneakers,690.33,642.67
Man Shoes,Derby,"1,091.00","1,038.00"
Man Shoes,Sneakers,"1,024.50","1,049.00"
Man Shoes,Derby,333.33,282.67
Man Shoes,Sneakers,690.33,852.67
Man Shoes,Derby,"2,443.00","3,009.00"
Man Shoes,Sneakers,690.33,754
Man Shoes,Sneakers,"2,049.00","1,942.00"
Man Shoes,Derby,333.33,313.67
Man Shoes,Derby,"1,091.00","1,407.00"
Man Shoes,Derby,500,459.5
Man Shoes,Sneakers,"2,049.00","1,454.00"
Man Shoes,Sneakers,690.33,634.67
Man Shoes,Derby,"1,221.50",835.5
Man Shoes,Sneakers,"1,024.50","1,239.50"
Man Shoes,Derby,"1,221.50","1,113.00"
Man Shoes,Derby,500,449.5
Man Shoes,Sneakers,"1,035.50","1,024.50"
Man Shoes,Derby,391.5,386.5
Man Shoes,Sneakers,"2,049.00","1,787.00"
Man Shoes,Sneakers,"1,035.50","1,006.00"
Man Shoes,Sneakers,683,572.33
Man Shoes,Derby,783,933
Man Shoes,Derby,"2,182.00","1,938.00"
Man Shoes,Sneakers,"1,035.50","1,101.00"
Man Shoes,Sneakers,"1,024.50",877.5
Man Shoes,Sneakers,683,692
Man Shoes,Derby,500,466
Man Shoes,Derby,333.33,288.33
Man Shoes,Derby,727.33,852.33
Man Shoes,Sneakers,"2,049.00","2,371.00"
Man Shoes,Sneakers,"2,049.00","1,939.00"
Man Shoes,Sneakers,"2,049.00","1,970.00"
Man Shoes,,783,714
Man Shoes,Derby,"2,182.00","2,503.00"
Man Shoes,Derby,"1,091.00","1,004.50"
Man Shoes,Sneakers,"2,049.00","1,957.00"
Man Shoes,Sneakers,"2,049.00","1,916.00"
Man Shoes,Sneakers,"1,035.50",973.5
Man Shoes,Derby,783,746
Man Shoes,Sneakers,"2,071.00","2,411.00"
Man Shoes,Sneakers,"2,049.00","2,022.00"
Man Shoes,Derby,261,237.33
Man Shoes,Derby,"2,182.00","1,583.00"
Man Shoes,Derby,333.33,420.33
Man Shoes,Sneakers,683,745.33
Man Shoes,Sneakers,690.33,661.67
Man Shoes,Derby,"2,182.00","2,443.00"
Man Shoes,Derby,261,169
Man Shoes,Derby,783,713
Man Shoes,Derby,814.33,813.33
Man Shoes,Derby,333.33,333
Man Shoes,Sneakers,"1,024.50","1,037.50"
Man Shoes,Derby,783,707
Man Shoes,Sneakers,"1,035.50","1,368.50"
Man Shoes,Sneakers,"1,035.50",674.5
Man Shoes,Sneakers,"2,049.00","1,605.00"
Man Shoes,Sneakers,"1,024.50","1,005.00"
Man Shoes,Derby,500,492.5
Man Shoes,Sneakers,683,644.33
Man Shoes,Sneakers,"1,035.50",996.5
Man Shoes,Derby,261,246.33
Man Shoes,Sneakers,683,783.67
Man Shoes,Sneakers,"2,049.00","1,555.00"
Man Shoes,Sneakers,"1,035.50",948
Man Shoes,Derby,"2,182.00","2,663.00"
Man Shoes,Derby,333.33,341.33
Man Shoes,Sneakers,"2,049.00","1,697.00"
Man Shoes,Derby,"1,091.00",961
Man Shoes,Sneakers,"2,071.00","2,211.00"
Man Shoes,Derby,727.33,518.33
Man Shoes,Sneakers,"2,049.00","2,379.00"
Man Shoes,Derby,783,622
Man Shoes,Derby,"1,091.00","1,039.00"
Man Shoes,Sneakers,"2,049.00","1,870.00"
Man Shoes,Sneakers,690.33,591.67
Man Shoes,Sneakers,"2,071.00","1,811.00"
Man Shoes,Derby,261,228.33
Man Shoes,Sneakers,"2,049.00","1,963.00"
Man Shoes,Sneakers,690.33,579.33
Man Shoes,Sneakers,690.33,762.33
Man Shoes,Sneakers,"1,024.50","1,255.00"
Man Shoes,Sneakers,690.33,740
Man Shoes,Derby,"2,443.00","2,205.00"
Man Shoes,Sneakers,"2,071.00","2,377.00"
Man Shoes,Sneakers,"1,035.50","1,123.50"
Man Shoes,Sneakers,690.33,681
Man Shoes,Sneakers,690.33,738
Man Shoes,Derby,"2,182.00","2,535.00"
Man Shoes,Sneakers,690.33,658.67
Man Shoes,Sneakers,"1,035.50","1,296.00"
Man Shoes,Derby,"1,221.50",961
Man Shoes,Derby,783,720
Man Shoes,Derby,783,670
Man Shoes,Derby,500,371.5
Man Shoes,Derby,333.33,248.67
Man Shoes,Sneakers,"2,049.00","1,892.00"
Man Shoes,Sneakers,690.33,795.33
Man Shoes,Derby,500,582
Man Shoes,Derby,783,796
Man Shoes,Sneakers,690.33,609
Man Shoes,Sneakers,690.33,680
Man Shoes,Sneakers,690.33,744.33
Man Shoes,Derby,727.33,707.67
Man Shoes,Derby,"2,182.00","2,019.00"
Man Shoes,Derby,"1,000.00","1,029.00"
Man Shoes,Derby,"2,182.00","1,441.00"
Man Shoes,Sneakers,"1,024.50","1,051.50"
Man Shoes,Derby,814.33,545.33
Man Shoes,Sneakers,690.33,622.33
Man Shoes,Derby,783,705
Man Shoes,Derby,"2,443.00","2,314.00"
Man Shoes,Derby,261,284.33
Man Shoes,Derby,391.5,400.5
Man Shoes,Derby,333.33,333
Man Shoes,Derby,"2,443.00","2,554.00"
Man Shoes,Derby,391.5,407
Man Shoes,Sneakers,"1,024.50",885.5
Man Shoes,Derby,"1,000.00","1,136.00"
Man Shoes,Sneakers,690.33,649.33
Man Shoes,Derby,"1,221.50","1,098.50"
Man Shoes,Sneakers,"2,049.00","1,983.00"
Man Shoes,Derby,391.5,331.5
Man Shoes,Sneakers,"2,049.00","2,328.00"
Man Shoes,Sneakers,690.33,572.67
Man Shoes,Derby,391.5,353.5
Man Shoes,Sneakers,"1,035.50","1,142.50"
Man Shoes,Sneakers,"1,024.50",981
Man Shoes,Derby,"1,221.50","1,290.50"
Man Shoes,Sneakers,"1,035.50",786
Man Shoes,Derby,261,242.33
Man Shoes,Sneakers,683,691.33
Man Shoes,Sneakers,"2,049.00","2,081.00"
Man Shoes,Derby,814.33,776
Man Shoes,Derby,"2,182.00","2,333.00"
Man Shoes,Sneakers,"2,049.00","2,185.00"
Man Shoes,Sneakers,"1,024.50","1,054.50"
Man Shoes,Derby,391.5,401.5
Man Shoes,Derby,391.5,328.5
Man Shoes,Derby,500,480
Man Shoes,Sneakers,683,685.33
Man Shoes,Sneakers,"1,024.50","1,001.00"
Man Shoes,Sneakers,683,628
Man Shoes,Sneakers,"2,071.00","1,959.00"
Man Shoes,Sneakers,"1,035.50","1,192.00"
Woman Shoes,Sandals,25,33.5
Woman Shoes,Sandals,46.67,59
Woman Shoes,Peep Toe,280,310.33
Woman Shoes,Peep Toe,150,153
Woman Shoes,Peep Toe,391,552.5
Woman Shoes,Peep Toe,16,22.67
Woman Shoes,Pump,424,435
Man Shoes,Derby,814.33,994.33
Man Shoes,Derby,"2,443.00","1,801.00"
Woman Shoes,Peep Toe,28,23
Woman Shoes,Peep Toe,239,349.67
Woman Shoes,Boots,70,92
Man Shoes,Sneakers,"1,160.00","1,305.00"
Man Shoes,Derby,180,203.33
Woman Shoes,Boots,315,353
Man Shoes,Sneakers,"2,295.00","2,646.00"
Woman Shoes,Sandals,230,311
Woman Shoes,Sandals,20,26
Woman Shoes,Peep Toe,76,80
Woman Shoes,Peep Toe,650,716
Man Shoes,Sneakers,"2,295.00","2,336.00"
Man Shoes,Sneakers,773.33,908.67
Woman Shoes,Sandals,30,40
Woman Shoes,Sandals,17.5,23.5
Woman Shoes,Boots,186.67,265
Man Shoes,Derby,560,644.5
Clothing,Mid Calf Socks,31.5,41.5
Clothing,Quarter Socks,54,67
Clothing,Mid Calf Socks,45,46
Man Shoes,Sneakers,565,518
Woman Shoes,Peep Toe,85,97
Woman Shoes,Peep Toe,130.5,138
Man Shoes,Sneakers,765,746.33
Clothing,Toe Cover Socks,3,3.33
Man Shoes,Sneakers,"1,147.50","1,024.00"
Woman Shoes,Boots,402.5,412
Woman Shoes,Peep Toe,37,41
Man Shoes,Sneakers,"1,160.00","1,340.50"
Woman Shoes,Peep Toe,35,36
Woman Shoes,Loafers,"1,045.00","1,434.00"
Clothing,Mid Calf Socks,270,302
Man Shoes,Oxford,794.67,908
Man Shoes,Derby,814.33,862
Woman Shoes,Peep Toe,978,"1,123.00"
Woman Shoes,Sandals,39,50.67
Woman Shoes,Sandals,65,87
Woman Shoes,Boots,11.67,16.33
Clothing,Mid Calf Socks,45,49
Man Shoes,Sneakers,"2,320.00","2,664.00"
Woman Shoes,Sandals,35,42.67
Woman Shoes,Sandals,30,35
Woman Shoes,Peep Toe,268.5,306.5
Woman Shoes,Peep Toe,88,102
Woman Shoes,Boots,455,480
Man Shoes,Sneakers,"1,147.50","1,108.00"
Woman Shoes,Sandals,105,138
Woman Shoes,Sandals,55,80.5
Woman Shoes,Stilletto,231,273
Man Shoes,Oxford,"1,192.00","1,342.50"
Woman Shoes,Sandals,144,192
Woman Shoes,Sandals,45,46
Woman Shoes,Boots,490,517.5
Clothing,Mid Calf Socks,4.5,5
Man Shoes,Derby,"2,443.00","2,516.00"
Man Shoes,Derby,"2,443.00","2,253.00"
Woman Shoes,Peep Toe,24,23
Woman Shoes,Peep Toe,489,491
Man Shoes,Oxford,607.5,552.5
Clothing,Quarter Socks,621,664
Man Shoes,Sneakers,"2,295.00","1,630.00"
Woman Shoes,Sandals,43.33,52.33
Woman Shoes,Sandals,145,204
Clothing,Quarter Socks,108,100
Man Shoes,Sneakers,765,784.33
Man Shoes,Sneakers,"1,147.50","1,084.50"
Woman Shoes,Boots,402.5,491
Clothing,Mid Calf Socks,36,39
Woman Shoes,Peep Toe,375,442.5
Woman Shoes,Boots,455,622
Man Shoes,Derby,"1,221.50","1,333.00"
Man Shoes,Sneakers,"2,320.00","2,340.00"
Man Shoes,Sneakers,"1,160.00","1,253.00"
Man Shoes,Sneakers,"1,160.00","1,388.50"
Woman Shoes,Sandals,125,163
Man Shoes,Derby,373.33,409.67
Woman Shoes,Boots,420,538.5
Woman Shoes,Peep Toe,279.5,371
Woman Shoes,Peep Toe,24,35
Woman Shoes,Boots,87.5,103.5
Woman Shoes,Stilletto,28,31.5
Man Shoes,Sneakers,"1,160.00",799.5
Man Shoes,Sneakers,"1,160.00",942
Woman Shoes,Sandals,55,47.5
Woman Shoes,Sandals,30,29
Woman Shoes,Boots,198.33,283.67
Woman Shoes,Peep Toe,145,173
Man Shoes,Oxford,"1,192.00","1,178.50"
Man Shoes,Derby,180,239.67
Woman Shoes,Sandals,13.5,13
Woman Shoes,Sandals,57.5,81.5
Woman Shoes,Peep Toe,8.33,8.67
Woman Shoes,Sandals,23.33,27.33
Woman Shoes,Sandals,20,23.5
Woman Shoes,Boots,192.5,203
Man Shoes,Sneakers,"2,320.00","2,196.00"
Man Shoes,Sneakers,256.33,305.33
Woman Shoes,Sandals,300,378
Woman Shoes,Boots,233.33,326.33
Man Shoes,Sneakers,180,188
Clothing,Quarter Socks,324,337
Man Shoes,Sneakers,"2,320.00","2,548.00"
Woman Shoes,Stilletto,71.5,81
Man Shoes,Derby,814.33,681
Man Shoes,Derby,"1,120.00",997
Clothing,Quarter Socks,459,469.5
Woman Shoes,Peep Toe,40,46
Woman Shoes,Peep Toe,291.67,326.67
Woman Shoes,Boots,350,387
Woman Shoes,Peep Toe,559,642
Man Shoes,Derby,"2,443.00","3,095.00"
Man Shoes,Derby,"1,221.50","1,042.00"
Woman Shoes,Peep Toe,8,6
Woman Shoes,Peep Toe,309.5,395.5
Woman Shoes,Peep Toe,22,25.5
Woman Shoes,Sandals,20,26.33
Clothing,Extra Low Cut Socks,349.5,452
Woman Shoes,Sandals,31.67,42.67
Man Shoes,Sneakers,"2,295.00","2,286.00"
Man Shoes,Sneakers,"2,295.00","2,557.00"
Man Shoes,Sneakers,384.5,406
Clothing,Quarter Socks,700,922
Man Shoes,Sneakers,765,675.33
Man Shoes,Sneakers,"1,147.50","1,003.00"
Woman Shoes,Loafers,825,959
Man Shoes,Derby,373.33,355
Woman Shoes,Peep Toe,525,700
Man Shoes,Sneakers,"1,160.00","1,043.00"
Woman Shoes,Sandals,130,141
Woman Shoes,Sandals,5,5.5
Woman Shoes,Stilletto,111.5,126.5
Man Shoes,Derby,567,475.67
Man Shoes,Sneakers,"2,295.00","2,124.00"
Man Shoes,Derby,180,213.33
Man Shoes,Sneakers,180,170.33
Man Shoes,Derby,270,246.5
Man Shoes,Sneakers,384.5,353.5
Man Shoes,Sneakers,"1,147.50","1,077.00"
Man Shoes,Sneakers,"2,295.00","2,218.00"
Woman Shoes,Peep Toe,115,135
Woman Shoes,Peep Toe,140,160
Woman Shoes,Boots,350,313.5
Man Shoes,Oxford,247.33,235
Woman Shoes,Boots,17.5,19
Man Shoes,Sneakers,"2,320.00","2,155.00"
Man Shoes,Sneakers,773.33,771.33
Woman Shoes,Boots,233.33,325.33
Woman Shoes,Sandals,36.67,32
Woman Shoes,Sandals,126,93
Man Shoes,Derby,"2,443.00","1,964.00"
Man Shoes,Derby,"2,443.00","2,206.00"
Woman Shoes,Boots,175,176.67
Woman Shoes,Boots,128.33,153
Clothing,Mid Calf Socks,126,148
Clothing,Invisible Socks,70,77.67
Clothing,Extra Low Cut Socks,148.33,163
Man Shoes,Derby,"1,120.00","1,021.00"
Woman Shoes,Stilletto,12,12
Man Shoes,Sneakers,773.33,497.33
Man Shoes,Oxford,742,744
Clothing,Mid Calf Socks,207,216
Clothing,Quarter Socks,166.67,174.33
Man Shoes,Sneakers,270,303
Clothing,Mid Calf Socks,216,228
Woman Shoes,Sandals,65,67
Woman Shoes,Sandals,125,143.5
Clothing,Quarter Socks,414,437.67
Man Shoes,Sneakers,765,712.33
Man Shoes,Sneakers,"2,295.00","2,084.00"
Woman Shoes,Boots,315,359
Woman Shoes,Boots,630,712
Woman Shoes,Peep Toe,980,"1,145.00"
Man Shoes,Derby,"2,443.00","2,646.00"
Woman Shoes,Peep Toe,65,96
Clothing,Quarter Socks,"1,050.00","1,037.00"
Man Shoes,Sneakers,773.33,682
Woman Shoes,Boots,630,727
Man Shoes,Derby,270,231
Man Shoes,Derby,180,169.33
Man Shoes,Derby,"2,443.00","2,179.00"
Woman Shoes,Stilletto,119,170
Clothing,Quarter Socks,252,259
Man Shoes,Sneakers,"2,320.00","1,946.00"
Man Shoes,Oxford,794.67,847.33
Woman Shoes,Sandals,40.5,57
Woman Shoes,Sandals,17.5,25.5
Woman Shoes,Boots,560,779
Woman Shoes,Boots,910,977
Man Shoes,Sneakers,"2,295.00","2,146.00"
Clothing,Extra Low Cut Socks,254,299.33
Man Shoes,Oxford,742,682
Woman Shoes,Boots,245,298
Clothing,Quarter Socks,850,860
Man Shoes,Derby,"2,443.00","2,314.00"
Man Shoes,Derby,560,498.5
Woman Shoes,Peep Toe,183.33,209
Woman Shoes,Peep Toe,4.5,5.5
Man Shoes,Sneakers,765,783
Clothing,Quarter Socks,400,400
Man Shoes,Oxford,"1,192.00","1,212.00"
Clothing,Quarter Socks,432,524.5
Man Shoes,Oxford,405,372.67
Woman Shoes,Loafers,82.5,88.5
Woman Shoes,Peep Toe,175,205.5
Woman Shoes,Peep Toe,38,43.5
Woman Shoes,Peep Toe,6,7
Man Shoes,Sneakers,765,937.67
Man Shoes,Derby,850.5,855
Woman Shoes,Boots,87.5,115.5
Clothing,Mid Calf Socks,22.5,21
Woman Shoes,Sandals,10,12
Woman Shoes,Peep Toe,35,45.33
Woman Shoes,Boots,186.67,267
Woman Shoes,Peep Toe,20,22.67
Woman Shoes,Peep Toe,13.33,14.33
Woman Shoes,Peep Toe,65,72
Man Shoes,Sneakers,"2,295.00","1,823.00"
Woman Shoes,Boots,525,583
Man Shoes,Sneakers,"1,147.50","1,213.00"
Man Shoes,Derby,270,281.5
Man Shoes,Sneakers,256.33,269.67
Clothing,Invisible Socks,676.67,590.67
Woman Shoes,Stilletto,29,30.67
Woman Shoes,Sandals,50,42
Woman Shoes,Sandals,125,116
Woman Shoes,Boots,437.5,314.5
Man Shoes,Oxford,"1,192.00",986
Man Shoes,Sneakers,765,712.33
Man Shoes,Derby,180,154
Woman Shoes,Pump,636,677
Man Shoes,Sneakers,773.33,579
Woman Shoes,Sandals,60,85.5
